"transcript_id","Start","End","Strand","Length","eh.head.S1.bam","eh.head.S2.bam","eh.head.S3.bam","eh.mid.S4.bam","eh.mid.S5.bam","eh.mid.S6.bam"
"TRINITY_DN100749_c0_g1_i1",1,261,"+",261,0,0,1,0,0,0
"TRINITY_DN100769_c0_g1_i1",1,345,"+",345,0,15,2,0,2,0
"TRINITY_DN100783_c0_g1_i1",1,238,"+",238,0,0,0,0,0,5
"TRINITY_DN100785_c0_g1_i1",1,223,"+",223,0,0,0,0,2,0
"TRINITY_DN100787_c0_g1_i1",1,300,"+",300,0,0,2,4,0,0
"TRINITY_DN100792_c0_g1_i1",1,309,"+",309,0,0,1,1,3,0
"TRINITY_DN100803_c0_g1_i1",1,630,"+",630,0,0,2,0,2,0
"TRINITY_DN100806_c0_g1_i1",1,266,"+",266,0,0,3,0,2,0
"TRINITY_DN100815_c0_g1_i1",1,310,"+",310,0,0,3,0,0,0
"TRINITY_DN100819_c0_g1_i1",1,258,"+",258,0,13,5,0,0,0
"TRINITY_DN100831_c0_g1_i1",1,268,"+",268,0,0,2,0,0,0
"TRINITY_DN100835_c0_g1_i1",1,209,"+",209,0,0,0,0,0,6
"TRINITY_DN100838_c0_g1_i1",1,335,"+",335,0,0,0,1,1,0
"TRINITY_DN100848_c0_g1_i1",1,268,"+",268,0,0,1,0,0,0
"TRINITY_DN100850_c0_g1_i1",1,330,"+",330,0,0,8,0,1,0
"TRINITY_DN100854_c0_g1_i1",1,300,"+",300,0,0,12,4,3,7
"TRINITY_DN100871_c0_g1_i1",1,230,"+",230,0,0,0,0,0,0
"TRINITY_DN100882_c0_g1_i1",1,253,"+",253,0,0,0,0,0,0
"TRINITY_DN100901_c0_g1_i1",1,223,"+",223,0,5,33,11,36,7
"TRINITY_DN100902_c0_g1_i1",1,222,"+",222,0,0,0,0,0,7
"TRINITY_DN100903_c0_g1_i1",1,204,"+",204,0,10,0,0,0,0
"TRINITY_DN100913_c0_g1_i1",1,236,"+",236,0,8,0,0,1,0
"TRINITY_DN100931_c0_g1_i1",1,220,"+",220,0,14,0,0,0,0
"TRINITY_DN100952_c0_g1_i1",1,270,"+",270,0,6,15,12,22,7
"TRINITY_DN10095_c0_g1_i1",1,359,"+",359,0,0,4,0,0,0
"TRINITY_DN100965_c0_g1_i1",1,265,"+",265,0,15,0,0,0,0
"TRINITY_DN100995_c0_g1_i1",1,201,"+",201,0,0,0,0,0,4
"TRINITY_DN101017_c0_g1_i1",1,324,"+",324,0,0,3,1,0,0
"TRINITY_DN101039_c0_g1_i1",1,374,"+",374,0,0,1,0,0,0
"TRINITY_DN101054_c0_g1_i1",1,220,"+",220,0,12,0,0,0,0
"TRINITY_DN101057_c0_g1_i1",1,250,"+",250,0,0,5,0,0,0
"TRINITY_DN101064_c0_g1_i1",1,226,"+",226,0,0,0,0,0,7
"TRINITY_DN101067_c0_g1_i1",1,440,"+",440,0,0,6,0,0,0
"TRINITY_DN101078_c0_g1_i1",1,336,"+",336,0,0,0,0,1,0
"TRINITY_DN101083_c0_g1_i1",1,481,"+",481,0,4,59,34,29,51
"TRINITY_DN101091_c0_g1_i1",1,297,"+",297,0,0,1,0,0,4
"TRINITY_DN101096_c0_g1_i1",1,266,"+",266,0,0,0,0,0,0
"TRINITY_DN10110_c0_g1_i1",1,282,"+",282,0,0,3,1,0,3
"TRINITY_DN101116_c0_g1_i1",1,245,"+",245,0,6,2,0,0,0
"TRINITY_DN10113_c0_g1_i1",1,307,"+",307,112,49,17,25,9,33
"TRINITY_DN10113_c0_g1_i2",1,375,"+",375,39,15,3,1,1,1
"TRINITY_DN101143_c0_g1_i1",1,264,"+",264,0,10,0,3,0,0
"TRINITY_DN101157_c0_g1_i1",1,207,"+",207,0,4,0,0,0,0
"TRINITY_DN101174_c0_g1_i1",1,232,"+",232,0,0,0,6,0,0
"TRINITY_DN101175_c0_g1_i1",1,231,"+",231,0,0,2,0,0,0
"TRINITY_DN10117_c0_g2_i1",1,263,"+",263,0,0,5,0,0,0
"TRINITY_DN101234_c0_g1_i1",1,243,"+",243,0,0,0,0,2,2
"TRINITY_DN101237_c0_g1_i1",1,319,"+",319,0,0,4,0,0,0
"TRINITY_DN101242_c0_g1_i1",1,422,"+",422,0,10,2,0,4,9
"TRINITY_DN101244_c0_g1_i1",1,306,"+",306,0,0,2,0,0,6
"TRINITY_DN10124_c0_g1_i1",1,376,"+",376,0,0,7,2,2,0
"TRINITY_DN101254_c0_g1_i1",1,239,"+",239,0,0,0,0,0,0
"TRINITY_DN101266_c0_g1_i1",1,202,"+",202,0,0,0,0,0,0
"TRINITY_DN101276_c0_g1_i1",1,244,"+",244,0,0,0,0,0,0
"TRINITY_DN101303_c0_g1_i1",1,207,"+",207,0,0,0,0,0,5
"TRINITY_DN10131_c0_g1_i1",1,423,"+",423,6,0,0,0,0,0
"TRINITY_DN101328_c0_g1_i1",1,224,"+",224,0,0,0,0,0,6
"TRINITY_DN101333_c0_g1_i1",1,205,"+",205,0,0,0,0,0,4
"TRINITY_DN101343_c0_g1_i1",1,237,"+",237,0,0,2,0,0,2
"TRINITY_DN10134_c0_g1_i1",1,575,"+",575,6,8,9,2,8,2
"TRINITY_DN10135_c0_g1_i1",1,307,"+",307,0,0,4,0,1,0
"TRINITY_DN101369_c0_g1_i1",1,210,"+",210,0,0,0,0,5,0
"TRINITY_DN101393_c0_g1_i1",1,455,"+",455,0,40,21,42,22,32
"TRINITY_DN101397_c0_g1_i1",1,419,"+",419,0,0,5,4,0,0
"TRINITY_DN101415_c0_g1_i1",1,405,"+",405,0,0,2,0,0,0
"TRINITY_DN101419_c0_g1_i1",1,270,"+",270,0,0,3,0,0,0
"TRINITY_DN101426_c0_g1_i1",1,322,"+",322,0,0,1,0,4,0
"TRINITY_DN101441_c0_g1_i1",1,325,"+",325,0,19,69,20,24,160
"TRINITY_DN101442_c0_g1_i1",1,211,"+",211,0,2,0,0,0,0
"TRINITY_DN101454_c0_g1_i1",1,271,"+",271,0,0,3,0,0,0
"TRINITY_DN101470_c0_g1_i1",1,323,"+",323,0,0,0,0,0,4
"TRINITY_DN101488_c0_g1_i1",1,229,"+",229,0,0,0,4,0,3
"TRINITY_DN10149_c0_g1_i1",1,272,"+",272,2,0,1,0,0,4
"TRINITY_DN10150_c0_g1_i1",1,292,"+",292,0,0,1,2,0,0
"TRINITY_DN101511_c0_g1_i1",1,267,"+",267,0,15,32,53,24,45
"TRINITY_DN101518_c0_g1_i1",1,292,"+",292,0,0,0,2,0,0
"TRINITY_DN101529_c0_g1_i1",1,212,"+",212,0,0,0,0,0,4
"TRINITY_DN101538_c0_g1_i1",1,343,"+",343,0,0,1,3,1,0
"TRINITY_DN101550_c0_g1_i1",1,217,"+",217,0,0,0,3,0,0
"TRINITY_DN101565_c0_g1_i1",1,348,"+",348,0,0,0,4,1,0
"TRINITY_DN101572_c0_g1_i1",1,265,"+",265,0,8,0,0,0,0
"TRINITY_DN101573_c0_g1_i1",1,386,"+",386,0,9,12,205,10,7
"TRINITY_DN101592_c0_g1_i1",1,246,"+",246,0,0,0,0,2,4
"TRINITY_DN101594_c0_g1_i1",1,215,"+",215,0,3,0,0,0,0
"TRINITY_DN101620_c0_g1_i1",1,256,"+",256,0,0,1,0,1,0
"TRINITY_DN101623_c0_g1_i1",1,241,"+",241,0,0,1,0,0,0
"TRINITY_DN101648_c0_g1_i1",1,253,"+",253,0,11,0,0,0,0
"TRINITY_DN101650_c0_g1_i1",1,241,"+",241,0,0,2,0,0,0
"TRINITY_DN101660_c0_g1_i1",1,205,"+",205,0,0,1,0,2,0
"TRINITY_DN101662_c0_g1_i1",1,212,"+",212,0,0,4,0,0,0
"TRINITY_DN101673_c0_g1_i1",1,263,"+",263,0,0,1,0,8,0
"TRINITY_DN101691_c0_g1_i1",1,245,"+",245,0,0,0,1,0,0
"TRINITY_DN101720_c0_g1_i1",1,210,"+",210,0,0,0,0,1,0
"TRINITY_DN101743_c0_g1_i1",1,244,"+",244,0,0,1,0,0,0
"TRINITY_DN101759_c0_g1_i1",1,235,"+",235,0,0,0,0,2,0
"TRINITY_DN101763_c0_g1_i1",1,275,"+",275,0,0,0,2,0,0
"TRINITY_DN101768_c0_g1_i1",1,221,"+",221,0,0,1,0,0,0
"TRINITY_DN101789_c0_g1_i1",1,235,"+",235,0,36,18,25,10,23
"TRINITY_DN101794_c0_g1_i1",1,252,"+",252,0,0,1,0,6,0
"TRINITY_DN101814_c0_g1_i1",1,252,"+",252,0,12,0,0,0,0
"TRINITY_DN101837_c0_g1_i1",1,255,"+",255,0,0,11,8,2,1
"TRINITY_DN101849_c0_g1_i1",1,224,"+",224,0,0,0,0,0,0
"TRINITY_DN101852_c0_g1_i1",1,230,"+",230,0,11,0,0,0,1
"TRINITY_DN101856_c0_g1_i1",1,239,"+",239,0,0,1,0,0,0
"TRINITY_DN101864_c0_g1_i1",1,252,"+",252,0,0,1,1,3,0
"TRINITY_DN101888_c0_g1_i1",1,325,"+",325,0,0,4,0,1,0
"TRINITY_DN101896_c0_g1_i1",1,228,"+",228,0,0,2,0,0,0
"TRINITY_DN101902_c0_g1_i1",1,232,"+",232,0,0,2,0,0,0
"TRINITY_DN101904_c0_g1_i1",1,224,"+",224,0,1539,666,573,336,834
"TRINITY_DN101909_c0_g1_i1",1,232,"+",232,0,5,0,0,0,0
"TRINITY_DN101936_c0_g1_i1",1,345,"+",345,0,0,16,4,5,0
"TRINITY_DN101946_c0_g1_i1",1,206,"+",206,0,6,0,0,0,0
"TRINITY_DN101961_c0_g1_i1",1,249,"+",249,0,0,0,0,1,0
"TRINITY_DN101975_c0_g1_i1",1,204,"+",204,0,0,8,6,4,6
"TRINITY_DN101981_c0_g1_i1",1,233,"+",233,0,0,0,0,3,0
"TRINITY_DN101983_c0_g1_i1",1,230,"+",230,0,10,0,0,0,0
"TRINITY_DN101986_c0_g1_i1",1,289,"+",289,0,0,6,0,0,0
"TRINITY_DN102001_c0_g1_i1",1,210,"+",210,0,8,0,0,0,0
"TRINITY_DN102037_c0_g1_i1",1,213,"+",213,0,2,0,7,0,1
"TRINITY_DN102041_c0_g1_i1",1,391,"+",391,0,0,2,2,0,0
"TRINITY_DN102045_c0_g1_i1",1,261,"+",261,0,0,14,7,4,0
"TRINITY_DN102050_c0_g1_i1",1,307,"+",307,0,0,0,0,0,0
"TRINITY_DN102052_c0_g1_i1",1,307,"+",307,0,0,0,1,0,0
"TRINITY_DN10205_c0_g1_i1",1,287,"+",287,0,16,0,0,0,0
"TRINITY_DN10205_c0_g1_i2",1,206,"+",206,32,423,30,13,15,25
"TRINITY_DN102073_c0_g1_i1",1,611,"+",611,0,0,2,4,3,0
"TRINITY_DN102078_c0_g1_i1",1,264,"+",264,0,0,0,0,0,0
"TRINITY_DN102086_c0_g1_i1",1,243,"+",243,0,0,0,0,0,0
"TRINITY_DN1020_c0_g1_i1",1,201,"+",201,2,0,0,0,0,2
"TRINITY_DN10210_c0_g1_i1",1,219,"+",219,1,0,2,1,0,0
"TRINITY_DN102125_c0_g1_i1",1,311,"+",311,0,0,0,4,0,3
"TRINITY_DN102128_c0_g1_i1",1,438,"+",438,0,0,16,9,2,0
"TRINITY_DN10212_c0_g1_i1",1,270,"+",270,2,0,3,0,0,0
"TRINITY_DN102138_c0_g1_i1",1,449,"+",449,0,0,5,0,1,0
"TRINITY_DN102141_c0_g1_i1",1,255,"+",255,0,0,0,0,0,0
"TRINITY_DN102156_c0_g1_i1",1,229,"+",229,0,5,11,41,13,3
"TRINITY_DN102157_c0_g1_i1",1,206,"+",206,0,0,2,0,0,0
"TRINITY_DN102158_c0_g1_i1",1,225,"+",225,0,11,0,0,0,0
"TRINITY_DN102163_c0_g1_i1",1,256,"+",256,0,8,0,0,0,0
"TRINITY_DN102167_c0_g1_i1",1,307,"+",307,0,0,1,2,0,0
"TRINITY_DN102169_c0_g1_i1",1,245,"+",245,0,13,0,0,0,0
"TRINITY_DN102170_c0_g1_i1",1,372,"+",372,0,12,1,4,2,0
"TRINITY_DN102176_c0_g1_i1",1,264,"+",264,0,0,2,0,0,0
"TRINITY_DN102200_c0_g1_i1",1,542,"+",542,0,0,4,6,0,0
"TRINITY_DN102202_c0_g1_i1",1,268,"+",268,0,2,0,0,0,0
"TRINITY_DN102204_c0_g1_i1",1,229,"+",229,0,10,0,0,0,0
"TRINITY_DN102208_c0_g1_i1",1,346,"+",346,0,0,4,0,0,0
"TRINITY_DN102222_c0_g1_i1",1,245,"+",245,0,15,2,0,0,0
"TRINITY_DN102223_c0_g1_i1",1,222,"+",222,0,0,0,0,3,0
"TRINITY_DN102246_c0_g1_i1",1,474,"+",474,0,3,6,0,6,0
"TRINITY_DN102248_c0_g1_i1",1,362,"+",362,0,0,3,0,2,0
"TRINITY_DN102249_c0_g1_i1",1,251,"+",251,0,0,0,10,0,0
"TRINITY_DN102250_c0_g1_i1",1,261,"+",261,0,0,0,3,0,0
"TRINITY_DN102261_c0_g1_i1",1,249,"+",249,0,8,0,0,0,3
"TRINITY_DN102263_c0_g1_i1",1,212,"+",212,0,8,0,0,0,0
"TRINITY_DN102268_c0_g1_i1",1,379,"+",379,0,0,4,0,0,0
"TRINITY_DN102277_c0_g1_i1",1,233,"+",233,0,0,0,0,0,0
"TRINITY_DN102278_c0_g1_i1",1,341,"+",341,0,0,5,10,0,3
"TRINITY_DN102281_c0_g1_i1",1,240,"+",240,0,3,24,4,11,7
"TRINITY_DN102283_c0_g1_i1",1,750,"+",750,0,11,5,2,3,6
"TRINITY_DN102286_c0_g1_i1",1,445,"+",445,0,9,2,0,0,0
"TRINITY_DN102287_c0_g1_i1",1,210,"+",210,0,0,0,0,0,0
"TRINITY_DN102291_c0_g1_i1",1,202,"+",202,0,8,0,0,0,0
"TRINITY_DN102292_c0_g1_i1",1,211,"+",211,0,0,2,0,0,0
"TRINITY_DN102293_c0_g1_i1",1,437,"+",437,0,0,1,0,0,0
"TRINITY_DN102294_c0_g1_i1",1,507,"+",507,0,0,4,0,0,0
"TRINITY_DN102300_c0_g1_i1",1,276,"+",276,0,9,0,0,0,0
"TRINITY_DN102301_c0_g1_i1",1,206,"+",206,0,0,0,0,1,10
"TRINITY_DN102316_c0_g1_i1",1,275,"+",275,0,8,2,0,0,0
"TRINITY_DN102321_c0_g1_i1",1,247,"+",247,0,5,0,0,0,0
"TRINITY_DN102323_c0_g1_i1",1,207,"+",207,0,0,0,0,0,0
"TRINITY_DN102325_c0_g1_i1",1,253,"+",253,0,0,0,0,3,0
"TRINITY_DN102331_c0_g1_i1",1,273,"+",273,0,0,0,0,0,9
"TRINITY_DN102335_c0_g1_i1",1,212,"+",212,0,20,0,0,0,0
"TRINITY_DN102339_c0_g1_i1",1,338,"+",338,0,5,0,0,0,0
"TRINITY_DN102345_c0_g1_i1",1,204,"+",204,0,0,2,0,0,0
"TRINITY_DN102347_c0_g1_i1",1,210,"+",210,0,0,0,0,0,4
"TRINITY_DN102355_c0_g1_i1",1,327,"+",327,0,0,0,0,0,0
"TRINITY_DN102358_c0_g1_i1",1,238,"+",238,0,14,2,4,0,0
"TRINITY_DN102373_c0_g1_i1",1,254,"+",254,0,0,2,0,0,2
"TRINITY_DN102377_c0_g1_i1",1,432,"+",432,0,0,4,0,0,0
"TRINITY_DN102383_c0_g1_i1",1,341,"+",341,0,6,0,0,0,0
"TRINITY_DN102384_c0_g1_i1",1,242,"+",242,0,3,0,0,0,0
"TRINITY_DN102407_c0_g1_i1",1,277,"+",277,0,5,0,0,2,0
"TRINITY_DN102413_c0_g1_i1",1,201,"+",201,0,0,0,0,3,0
"TRINITY_DN102417_c0_g1_i1",1,211,"+",211,0,0,0,7,0,0
"TRINITY_DN102419_c0_g1_i1",1,207,"+",207,0,0,0,0,0,7
"TRINITY_DN102424_c0_g1_i1",1,223,"+",223,0,0,0,0,0,1
"TRINITY_DN102431_c0_g1_i1",1,211,"+",211,0,0,0,0,0,3
"TRINITY_DN102432_c0_g1_i1",1,806,"+",806,0,0,9,0,0,0
"TRINITY_DN102436_c0_g1_i1",1,354,"+",354,0,0,2,0,0,4
"TRINITY_DN102439_c0_g1_i1",1,249,"+",249,0,0,3,0,0,0
"TRINITY_DN102441_c0_g1_i1",1,605,"+",605,0,0,5,0,0,6
"TRINITY_DN102447_c0_g1_i1",1,218,"+",218,0,5,16,0,0,0
"TRINITY_DN102450_c0_g1_i1",1,201,"+",201,0,0,0,0,3,0
"TRINITY_DN102458_c0_g1_i1",1,315,"+",315,0,0,2,3,3,0
"TRINITY_DN102459_c0_g1_i1",1,294,"+",294,0,0,0,0,0,0
"TRINITY_DN102466_c0_g1_i1",1,330,"+",330,0,0,5,1,0,0
"TRINITY_DN102480_c0_g1_i1",1,241,"+",241,0,0,0,0,3,0
"TRINITY_DN102482_c0_g1_i1",1,234,"+",234,0,0,0,0,0,0
"TRINITY_DN102487_c0_g1_i1",1,233,"+",233,0,7,0,1,1,0
"TRINITY_DN102493_c0_g1_i1",1,563,"+",563,0,0,5,0,0,0
"TRINITY_DN102494_c0_g1_i1",1,360,"+",360,0,6,0,0,0,3
"TRINITY_DN102495_c0_g1_i1",1,229,"+",229,0,7,0,0,0,0
"TRINITY_DN102498_c0_g1_i1",1,222,"+",222,0,0,0,2,0,0
"TRINITY_DN102501_c0_g1_i1",1,323,"+",323,0,12,0,2,0,0
"TRINITY_DN102524_c0_g1_i1",1,259,"+",259,0,0,0,0,4,0
"TRINITY_DN102527_c0_g1_i1",1,270,"+",270,0,8,0,0,0,0
"TRINITY_DN102530_c0_g1_i1",1,245,"+",245,0,0,1,2,0,0
"TRINITY_DN102531_c0_g1_i1",1,291,"+",291,0,0,2,20,25,5
"TRINITY_DN102533_c0_g1_i1",1,205,"+",205,0,0,0,0,0,5
"TRINITY_DN102546_c0_g1_i1",1,220,"+",220,0,0,2,0,0,0
"TRINITY_DN10254_c0_g1_i1",1,202,"+",202,0,2,0,0,4,0
"TRINITY_DN102557_c0_g1_i1",1,365,"+",365,0,12,0,5,0,0
"TRINITY_DN102561_c0_g1_i1",1,238,"+",238,0,4,0,0,2,0
"TRINITY_DN102563_c0_g1_i1",1,329,"+",329,0,0,3,0,0,0
"TRINITY_DN102568_c0_g1_i1",1,457,"+",457,0,13,95,47,71,28
"TRINITY_DN102579_c0_g1_i1",1,236,"+",236,0,7,0,0,0,0
"TRINITY_DN102582_c0_g1_i1",1,594,"+",594,0,0,10,0,0,5
"TRINITY_DN102599_c0_g1_i1",1,261,"+",261,0,0,0,0,0,0
"TRINITY_DN102607_c0_g1_i1",1,212,"+",212,0,0,0,0,3,0
"TRINITY_DN102609_c0_g1_i1",1,264,"+",264,0,0,0,0,0,6
"TRINITY_DN102612_c0_g1_i1",1,242,"+",242,0,0,0,0,0,10
"TRINITY_DN102615_c0_g1_i1",1,220,"+",220,0,0,1,0,0,0
"TRINITY_DN102623_c0_g1_i1",1,565,"+",565,0,0,7,2,3,0
"TRINITY_DN102629_c0_g1_i1",1,235,"+",235,0,12,0,0,0,0
"TRINITY_DN10262_c0_g1_i1",1,307,"+",307,0,0,1,5,2,0
